Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:00:22.55,157,85,0,0,1,0
0:00:22.69,152,81,0,0,1,0
0:00:22.83,147,77,0,0,1,0
0:00:22.97,148,78,0,0,1,0
0:00:23.12,150,78,0,0,1,0
0:00:23.26,149,77,0,0,1,0
0:00:23.41,146,75,0,0,1,0
0:00:23.55,147,76,0,0,1,0
0:00:23.70,153,78,0,0,1,0
0:00:23.83,152,77,0,0,1,0
0:00:23.93,152,77,0,0,1,0
0:00:24.08,153,77,0,0,1,0
0:00:24.22,150,76,0,0,1,0
0:00:24.35,148,75,0,0,1,0
0:00:24.49,152,79,0,0,1,0
0:00:24.63,152,79,0,0,1,0
0:00:24.77,151,79,0,0,1,0
0:00:24.90,151,79,0,0,1,0
0:00:25.04,152,80,0,0,1,0
0:00:25.14,153,80,0,0,1,0
0:00:25.28,154,81,0,0,1,0
0:00:25.42,155,82,0,0,1,0
0:00:25.56,155,82,0,0,1,0
0:00:25.70,156,84,0,0,1,0
0:00:25.83,156,83,0,0,1,0
0:00:25.99,156,82,0,0,1,0
0:00:26.12,156,82,0,0,1,0
0:00:26.27,156,82,0,0,1,0
0:00:26.41,154,80,0,0,1,0
0:00:26.51,153,80,0,0,1,0
0:00:26.64,154,80,0,0,1,0
0:00:26.78,154,82,0,0,1,0
0:00:26.91,159,85,0,0,1,0
0:00:27.04,163,87,0,0,1,0
0:00:27.17,165,89,0,0,1,0
0:00:27.30,165,89,0,0,1,0
0:00:27.43,165,90,0,0,1,0
0:00:27.56,164,91,0,0,1,0
0:00:27.71,153,83,0,0,1,0
0:00:27.84,147,77,0,0,1,0
0:00:27.99,148,78,0,0,1,0
0:00:28.09,149,79,0,0,1,0
0:00:28.23,148,77,0,0,1,0
0:00:28.36,151,79,0,0,1,0
0:00:28.51,153,79,0,0,1,0
0:00:28.64,153,80,0,0,1,0
0:00:28.78,155,81,0,0,1,0
0:00:28.91,154,83,0,0,1,0
0:00:29.06,154,83,0,0,1,0
0:00:29.20,149,79,0,0,1,0
0:00:29.34,151,80,0,0,1,0
0:00:29.48,153,79,0,0,1,0
0:00:29.62,154,80,0,0,1,0
0:00:29.75,154,82,0,0,1,0
0:00:29.90,172,94,0,0,1,0
0:00:30.03,183,99,0,0,1,0
0:00:30.13,194,112,0,0,1,0
0:00:30.28,223,135,0,0,1,0
0:00:30.42,239,147,0,0,1,0
0:00:30.52,256,160,0,0,1,0
0:00:30.65,275,174,0,0,1,0
